,city,district,listed_date,listed_price,transaction_price,transaction_cycle,adjust_price,house_inspection,concerned_number,browse_number,house_type,covered_area,orientation,elevator,transaction_info,cell_name,floors,url
124,浦东,花木,2012-08-17,2900,2790,1711,0,0,0,暂无数据,4室2厅1厨3卫,278.66㎡,东,无,"单价100123元/平,2017-04-24成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107000399927.html
125,浦东,花木,2012-01-07,1680,1640,1958,0,0,0,暂无数据,4室2厅1厨2卫,166.95㎡,暂无数据,有,"单价98234元/平,2017-05-18成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107000257479.html
126,浦东,花木,2012-01-07,1720,1620,1936,0,0,0,暂无数据,4室2厅1厨2卫,181.51㎡,南,有,"单价89252元/平,2017-04-26成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107000359345.html
127,浦东,花木,2012-01-14,7900,7580,1943,0,0,0,暂无数据,5室3厅1厨5卫,604.83㎡,北,无,"单价125325元/平,2017-05-10成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107000369355.html
128,浦东,花木,2012-01-07,1500,1460,1966,0,0,0,暂无数据,4室2厅1厨3卫,179.46㎡,南,有,"单价81356元/平,2017-05-26成交",,低楼层(共23层),https://sh.lianjia.com/chengjiao/107002003335.html
129,浦东,花木,2012-01-07,1520,1470,1978,0,0,0,暂无数据,4室2厅1厨2卫,181.51㎡,西南,有,"单价80988元/平,2017-06-07成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107001998187.html
130,浦东,花木,2012-01-07,1520,1480,1989,0,0,0,暂无数据,3室2厅1厨2卫,170.36㎡,西南,有,"单价86875元/平,2017-06-18成交",,低楼层(共10层),https://sh.lianjia.com/chengjiao/107002000833.html
131,浦东,花木,2013-11-14,1200,1000,1321,0,0,0,暂无数据,3室2厅1厨2卫,160.16㎡,北,有,"单价62438元/平,2017-06-27成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107002032329.html
132,浦东,花木,2012-08-17,4000,3750,1784,0,0,0,暂无数据,4室2厅1厨5卫,376.15㎡,东,无,"单价99695元/平,2017-07-06成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107000400227.html
133,浦东,花木,2012-08-17,2900,2900,1796,0,0,0,暂无数据,4室2厅1厨4卫,275.07㎡,东,无,"单价105428元/平,2017-07-18成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107000400179.html
134,浦东,花木,2012-08-16,2380,2125,1840,0,0,0,暂无数据,3室2厅1厨3卫,171.89㎡,南,无,"单价123626元/平,2017-08-30成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107000400271.html
135,浦东,花木,2012-01-07,11000,10800,2089,0,0,0,暂无数据,5室4厅1厨6卫,806.17㎡,南,无,"单价133967元/平,2017-09-26成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107002122735.html
136,浦东,花木,2012-01-07,2250,2206,2155,0,0,0,暂无数据,4室2厅1厨3卫,223.51㎡,暂无数据,有,"单价98699元/平,2017-12-01成交",,中楼层(共30层),https://sh.lianjia.com/chengjiao/107000281353.html
137,浦东,花木,2012-01-07,1650,1550,2169,0,0,0,暂无数据,4室2厅1厨2卫,181.51㎡,南,有,"单价85395元/平,2017-12-15成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107000220531.html
138,浦东,花木,2018-02-01,1200,1045,40,1,0,14,1918,3室2厅1厨2卫,170.86㎡,南,有,"单价61162元/平,2018-03-12成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107100000116.html
139,浦东,花木,2016-04-04,1680,1630,786,1,0,103,3319,4室2厅1厨2卫,192.67㎡,南,有,"单价84601元/平,2018-05-30成交",,高楼层(共30层),https://sh.lianjia.com/chengjiao/107000206533.html
140,浦东,花木,2017-05-13,1500,1430,330,1,0,40,20432,4室2厅1厨2卫,181.51㎡,南,有,"单价78784元/平,2018-04-08成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107000206519.html
141,浦东,花木,2018-02-04,1460,1380,123,1,0,34,3216,4室2厅1厨2卫,164.94㎡,南 西,有,"单价83667元/平,2018-06-06成交",,低楼层(共9层),https://sh.lianjia.com/chengjiao/107100005853.html
142,浦东,花木,2018-04-21,2350,2200,51,0,0,8,1137,4室2厅1厨3卫,223.51㎡,南,有,"单价98430元/平,2018-06-11成交",,中楼层(共30层),https://sh.lianjia.com/chengjiao/107100222258.html
143,浦东,花木,2018-06-14,2400,2350,6,0,0,0,暂无数据,5室2厅1厨3卫,270.73㎡,南,有,"单价86803元/平,2018-06-20成交",,高楼层(共33层),https://sh.lianjia.com/chengjiao/107100379644.html
144,浦东,花木,2017-05-12,1580,1565,417,1,0,210,8167,4室2厅1厨2卫,189.6㎡,南,有,"单价82543元/平,2018-07-02成交",,中楼层(共30层),https://sh.lianjia.com/chengjiao/107000206531.html
145,浦东,花木,2018-05-04,1550,1550,73,1,0,28,2224,4室2厅1厨2卫,189.4㎡,南,有,"单价81838元/平,2018-07-15成交",,低楼层(共33层),https://sh.lianjia.com/chengjiao/107100258320.html
146,浦东,花木,2018-07-05,1450,1390,12,0,0,7,409,4室2厅1厨2卫,164.44㎡,南,有,"单价84530元/平,2018-07-16成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107100438467.html
147,浦东,花木,2018-03-17,1660,1613.8,127,1,0,19,3444,3室2厅1厨2卫,182.43㎡,南,有,"单价88462元/平,2018-07-21成交",,高楼层(共35层),https://sh.lianjia.com/chengjiao/107100107874.html
148,浦东,花木,2017-10-28,8400,8250,284,1,0,4,1724,5室3厅1厨3卫,521.24㎡,南,无,"单价158277元/平,2018-08-07成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107001681239.html
149,浦东,花木,2017-04-13,1380,1293,558,1,0,292,32743,3室2厅1厨2卫,161.1㎡,南,有,"单价80261元/平,2018-10-22成交",,中楼层(共20层),https://sh.lianjia.com/chengjiao/107000276837.html
150,浦东,花木,2012-01-07,1450,1410,1532,0,0,0,暂无数据,3室2厅1厨2卫,179.52㎡,南,有,"单价78543元/平,2016-03-17成交",,中楼层(共35层),https://sh.lianjia.com/chengjiao/107010067490.html
151,浦东,花木,2018-09-06,4150,3600,54,1,0,5,1313,4室2厅1厨4卫,275.07㎡,东,无,"单价130876元/平,2018-10-30成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107100620692.html
152,浦东,花木,2012-01-07,暂无数据,1550,1544,0,0,0,暂无数据,3室2厅1厨3卫,171.89㎡,南,无,"单价90174元/平,2016-03-29成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010071001.html
153,浦东,花木,2013-11-14,1050,1050,866,1,0,0,暂无数据,3室2厅1厨2卫,170.86㎡,南,有,"单价61454元/平,2016-03-29成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107010067086.html
154,浦东,花木,2012-08-17,暂无数据,2800,1312,1,0,0,暂无数据,4室2厅1厨4卫,246.26㎡,北,无,"单价113701元/平,2016-03-21成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010066267.html
155,浦东,花木,2012-08-15,暂无数据,3445,1349,1,0,0,暂无数据,4室3厅1厨4卫,376.15㎡,东,无,"单价91586元/平,2016-04-25成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010071366.html
156,浦东,花木,2012-08-15,暂无数据,1710,1342,0,0,0,暂无数据,3室2厅1厨3卫,171.89㎡,北,无,"单价99483元/平,2016-04-18成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010070600.html
157,浦东,花木,2012-01-07,暂无数据,5408,1623,0,0,0,暂无数据,5室3厅1厨5卫,499.86㎡,南,无,"单价108191元/平,2016-06-16成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010072346.html
158,浦东,花木,2012-01-07,暂无数据,1350,1590,0,0,0,暂无数据,5室3厅1厨3卫,228.96㎡,南,有,"单价58963元/平,2016-05-14成交",,高楼层(共12层),https://sh.lianjia.com/chengjiao/107010073183.html
159,浦东,花木,2012-01-07,1500,1450,1648,0,0,0,暂无数据,3室2厅1厨2卫,179.52㎡,南,有,"单价80771元/平,2016-07-11成交",,中楼层(共35层),https://sh.lianjia.com/chengjiao/107010080789.html
160,浦东,花木,2012-01-07,暂无数据,4950,1641,0,0,0,暂无数据,5室3厅1厨4卫,358㎡,南,无,"单价138269元/平,2016-07-04成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010080519.html
161,浦东,花木,2013-11-04,1250,1180,989,1,0,0,暂无数据,3室2厅1厨2卫,165.71㎡,南,有,"单价71209元/平,2016-07-20成交",,低楼层(共9层),https://sh.lianjia.com/chengjiao/107010079922.html
162,浦东,花木,2012-01-07,暂无数据,1850,1666,1,0,0,暂无数据,3室2厅1厨3卫,171.89㎡,南,无,"单价107627元/平,2016-07-29成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010082195.html
163,浦东,花木,2012-01-07,暂无数据,1230,1680,1,0,0,暂无数据,4室2厅1厨2卫,166.46㎡,南,有,"单价73892元/平,2016-08-12成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010084913.html
164,浦东,花木,2013-11-04,1250,1220,1019,1,0,0,暂无数据,3室2厅1厨2卫,152.94㎡,西南,有,"单价79770元/平,2016-08-19成交",,中楼层(共9层),https://sh.lianjia.com/chengjiao/107010089583.html
165,浦东,花木,2012-01-07,1600,1455,1668,0,0,0,暂无数据,0室0厅1厨0卫,223.51㎡,暂无数据,有,"单价65098元/平,2016-07-31成交",,低楼层(共30层),https://sh.lianjia.com/chengjiao/107010085834.html
166,浦东,花木,2012-01-07,5500,4000,1687,1,0,0,暂无数据,5室3厅1厨5卫,334.97㎡,暂无数据,无,"单价119414元/平,2016-08-19成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010061550.html
167,浦东,花木,2012-01-07,1400,1350,1697,1,0,0,暂无数据,3室2厅1厨2卫,189.24㎡,南,有,"单价71338元/平,2016-08-29成交",,低楼层(共22层),https://sh.lianjia.com/chengjiao/107010088549.html
168,浦东,花木,2012-01-07,1550,1520,1695,1,0,0,暂无数据,4室2厅1厨2卫,197.28㎡,南,有,"单价77048元/平,2016-08-27成交",,中楼层(共7层),https://sh.lianjia.com/chengjiao/107010082246.html
169,浦东,花木,2012-01-07,1700,1630,1697,0,0,0,暂无数据,4室3厅1厨2卫,196.22㎡,南,有,"单价83071元/平,2016-08-29成交",,高楼层(共7层),https://sh.lianjia.com/chengjiao/107010083484.html
170,浦东,花木,2013-07-19,暂无数据,2900,1152,1,0,0,暂无数据,4室2厅1厨3卫,226.89㎡,南,无,"单价127816元/平,2016-09-13成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010093075.html
171,浦东,花木,2012-01-07,2800,2625,1728,0,0,0,暂无数据,4室2厅1厨4卫,275.07㎡,东,无,"单价95431元/平,2016-09-29成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010083354.html
172,浦东,花木,2012-01-07,1380,1350,1727,1,0,0,暂无数据,3室2厅1厨2卫,173.11㎡,南,有,"单价77986元/平,2016-09-28成交",,中楼层(共22层),https://sh.lianjia.com/chengjiao/107010098332.html
173,浦东,花木,2012-01-07,暂无数据,3680,1724,1,0,0,暂无数据,4室3厅1厨4卫,376.15㎡,南,无,"单价97834元/平,2016-09-25成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010102019.html
174,浦东,花木,2012-01-07,暂无数据,2750,1721,0,0,0,暂无数据,4室2厅1厨3卫,278.66㎡,西,无,"单价98687元/平,2016-09-22成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107010099497.html
175,浦东,花木,2013-09-27,1600,1500,1128,0,0,0,暂无数据,4室2厅1厨3卫,212.65㎡,南,有,"单价70539元/平,2016-10-29成交",,低楼层(共21层),https://sh.lianjia.com/chengjiao/107010090800.html
176,浦东,花木,2012-01-07,暂无数据,8100,1790,1,0,0,暂无数据,6室3厅1厨9卫,798.86㎡,南,无,"单价101395元/平,2016-11-30成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010104903.html
177,浦东,花木,2012-01-07,暂无数据,1820,1796,0,0,0,暂无数据,4室2厅1厨2卫,228.79㎡,南,有,"单价79549元/平,2016-12-06成交",,低楼层(共30层),https://sh.lianjia.com/chengjiao/107010109884.html
178,浦东,花木,2012-01-07,暂无数据,8140,1807,1,0,0,暂无数据,6室3厅1厨4卫,806.17㎡,北,无,"单价100972元/平,2016-12-18成交",,低楼层(共2层),https://sh.lianjia.com/chengjiao/107010106864.html
179,浦东,花木,2012-01-07,1680,1500,1888,0,0,0,暂无数据,3室2厅1厨2卫,179.33㎡,南,有,"单价83645元/平,2017-03-09成交",,高楼层(共33层),https://sh.lianjia.com/chengjiao/107000362689.html
180,浦东,花木,2013-10-17,1280,1280,1191,0,0,0,暂无数据,3室2厅1厨2卫,152.25㎡,南,有,"单价84073元/平,2017-01-20成交",,中楼层(共9层),https://sh.lianjia.com/chengjiao/107000520561.html
181,浦东,花木,2012-06-10,640,638,886,1,0,0,暂无数据,3室2厅1厨2卫,142.91㎡,南,有,"单价44644元/平,2014-11-13成交",,高楼层(共11层),https://sh.lianjia.com/chengjiao/107010009067.html
182,浦东,花木,2012-01-07,700,680,1108,0,0,0,暂无数据,0室0厅1厨0卫,145.02㎡,暂无数据,有,"单价46891元/平,2015-01-19成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107010010516.html
