,listed_price,transaction_price,town,url
110,暂无数据,110,"单价25834元/平,2015-12-11成交",https://sh.lianjia.com/chengjiao/107010040196.html
111,暂无数据,115,"单价28312元/平,2015-12-15成交",https://sh.lianjia.com/chengjiao/107010042038.html
112,88,83,"单价16734元/平,2016-01-10成交",https://sh.lianjia.com/chengjiao/107010047716.html
113,115,115,"单价26627元/平,2016-01-03成交",https://sh.lianjia.com/chengjiao/107010046487.html
114,160,116,"单价28474元/平,2015-12-13成交",https://sh.lianjia.com/chengjiao/107010045249.html
115,125,118,"单价29050元/平,2015-12-19成交",https://sh.lianjia.com/chengjiao/107010046269.html
116,暂无数据,95,"单价19154元/平,2016-01-16成交",https://sh.lianjia.com/chengjiao/107010043682.html
117,120,119,"单价29304元/平,2016-01-11成交",https://sh.lianjia.com/chengjiao/107010046160.html
118,359,330,"单价40432元/平,2018-11-12成交",https://sh.lianjia.com/chengjiao/107100668132.html
119,300,287,"单价37047元/平,2018-11-09成交",https://sh.lianjia.com/chengjiao/107100781246.html
120,355,331,"单价37338元/平,2018-11-05成交",https://sh.lianjia.com/chengjiao/107100690536.html
121,430,413,"单价46343元/平,2018-11-12成交",https://sh.lianjia.com/chengjiao/107100563020.html
122,430,400,"单价46702元/平,2018-11-06成交",https://sh.lianjia.com/chengjiao/107002163401.html
123,316,320,"单价41419元/平,2018-11-18成交",https://sh.lianjia.com/chengjiao/107100292408.html
124,248,240,"单价33803元/平,2018-11-16成交",https://sh.lianjia.com/chengjiao/107002155401.html
125,358,335,"单价37389元/平,2018-11-20成交",https://sh.lianjia.com/chengjiao/107100504171.html
126,495,460,"单价51767元/平,2018-11-22成交",https://sh.lianjia.com/chengjiao/107100781375.html
127,376,368.5,"单价42676元/平,2018-11-23成交",https://sh.lianjia.com/chengjiao/107100752647.html
128,290,275,"单价33419元/平,2018-11-27成交",https://sh.lianjia.com/chengjiao/107002055579.html
129,330,315,"单价40661元/平,2018-12-03成交",https://sh.lianjia.com/chengjiao/107100812944.html
130,475,448,"单价50702元/平,2018-11-30成交",https://sh.lianjia.com/chengjiao/107100217843.html
131,311.5,296,"单价33255元/平,2018-12-09成交",https://sh.lianjia.com/chengjiao/107100752401.html
132,385,365,"单价41234元/平,2018-12-08成交",https://sh.lianjia.com/chengjiao/107100692572.html
133,620,580,"单价40000元/平,2018-02-04成交",https://sh.lianjia.com/chengjiao/107002070639.html
134,640,608,"单价46566元/平,2018-03-04成交",https://sh.lianjia.com/chengjiao/107001997111.html
135,330,300,"单价21962元/平,2018-04-18成交",https://sh.lianjia.com/chengjiao/107002007581.html
136,600,580,"单价44616元/平,2018-03-08成交",https://sh.lianjia.com/chengjiao/107100031364.html
137,650,630,"单价48114元/平,2018-05-28成交",https://sh.lianjia.com/chengjiao/107100173431.html
138,560,525,"单价36696元/平,2018-06-16成交",https://sh.lianjia.com/chengjiao/107001023593.html
139,700,615,"单价44223元/平,2018-05-21成交",https://sh.lianjia.com/chengjiao/107002333013.html
140,710,682,"单价47840元/平,2018-06-27成交",https://sh.lianjia.com/chengjiao/107100372509.html
141,450,445,"单价34074元/平,2018-08-20成交",https://sh.lianjia.com/chengjiao/107100529527.html
142,510,490,"单价36208元/平,2018-08-29成交",https://sh.lianjia.com/chengjiao/107100526099.html
143,408,405,"单价30945元/平,2018-08-24成交",https://sh.lianjia.com/chengjiao/107100041546.html
144,465,446,"单价32962元/平,2018-10-31成交",https://sh.lianjia.com/chengjiao/107002285943.html
145,630,600,"单价44475元/平,2018-12-06成交",https://sh.lianjia.com/chengjiao/107100524309.html
146,550,500,"单价37038元/平,2018-09-07成交",https://sh.lianjia.com/chengjiao/107100503352.html
147,暂无数据,400,"单价14444元/平,2015-10-18成交",https://sh.lianjia.com/chengjiao/107010022619.html
148,暂无数据,468,"单价26857元/平,2015-10-28成交",https://sh.lianjia.com/chengjiao/107010030786.html
149,暂无数据,362.5,"单价21320元/平,2015-11-01成交",https://sh.lianjia.com/chengjiao/107010031415.html
